gazette_number,gazette_type,gazette_date,decree_number,change_type,person_name,post_or_position,institution,organism,is_military_person,military_rank,is_military_post,summary
43288,Ordinaria,2026-01-05,,AUTORIZACION_UNIVERSITARIA,,Instituto Universitario de Tecnología Elías Calixto Pompa (IUTECP),,Ministerio del Poder Popular para la Educación Universitaria,NO,,NO,"Resolución mediante la cual se amplía la carrera de Técnico Superior Universitario en Fisioterapia a Licenciatura en Fisioterapia al Instituto Universitario de Tecnología Elías Calixto Pompa (IUTECP), en su sede Guatire-Miranda y su Extensión Puerto La Cruz-Anzoátegui."
43288,Ordinaria,2026-01-05,,TRASLADO_FISCAL,Carmen Gregoria Pérez Fernández,Fiscal Auxiliar Interino,Fiscalía Décima Tercera del Ministerio Público de la Circunscripción Judicial del Estado Táchira,Ministerio Público,NO,,NO,"Resolución mediante la cual se traslada a la ciudadana Carmen Gregoria Pérez Fernández, como Fiscal Auxiliar Interino a la Fiscalía Décima Tercera del Ministerio Público de la Circunscripción Judicial del estado Táchira, con competencia en Protección de Niños, Niñas y Adolescentes, Civil e Instituciones Familiares, con sede en San Cristóbal."
43288,Ordinaria,2026-01-05,,TRASLADO_FISCAL,Caroling Alexandra Azócar Alejos,Fiscal Auxiliar Interino,Fiscalía Vigésima Sexta del Ministerio Público de la Circunscripción Judicial del Área Metropolitana de Caracas,Ministerio Público,NO,,NO,"Resolución mediante la cual se traslada a la ciudadana Caroling Alexandra Azócar Alejos, como Fiscal Auxiliar Interino a la Fiscalía Vigésima Sexta del Ministerio Público de la Circunscripción Judicial del Área Metropolitana de Caracas, con competencia Plena y en Delitos Menos Graves, en las Fases de Investigación, Intermedia y de Juicio Oral."
43288,Ordinaria,2026-01-05,,TRASLADO_FISCAL,Edisson Ismael Álvarez Oropeza,Fiscal Auxiliar Interino,Fiscalía Octava del Ministerio Público de la Circunscripción Judicial del Área Metropolitana de Caracas,Ministerio Público,NO,,NO,"Resolución mediante la cual se traslada al ciudadano Edisson Ismael Álvarez Oropeza, como Fiscal Auxiliar Interino a la Fiscalía Octava del Ministerio Público de la Circunscripción Judicial del Área Metropolitana de Caracas, con competencia Plena y en Delitos de Homicidio, Delitos Graves y Contra la Propiedad en las Fases de Investigación, Intermedia y de Juicio Oral."
43288,Ordinaria,2026-01-05,,DESIGNACION_FISCAL,Jesús Daniel Verdú Quintana,Fiscal Auxiliar Interino,Fiscalía Municipal Cuarta del Ministerio Público de la Circunscripción Judicial del Estado Miranda,Ministerio Público,NO,,NO,"Resolución mediante la cual se designa como Fiscal Auxiliar Interino al ciudadano Jesús Daniel Verdú Quintana, en la Fiscalía Municipal Cuarta del Ministerio Público de la Circunscripción Judicial del estado Miranda, con competencia territorial en los municipios Independencia, Paz Castillo y Simón Bolívar, con sede en la ciudad de Santa Teresa del Tuy, adscrita a la Fiscalía Superior del Ministerio Público de la citada Circunscripción Judicial."
43288,Ordinaria,2026-01-05,,DESIGNACION_FISCAL,Mariely Aguilera Salazar,Fiscal Auxiliar Interino,"Fiscalía 44 Nacional con Competencia Plena y en Materia de Tránsito, Vehículos y Vialidad",Ministerio Público,NO,,NO,"Resolución mediante la cual se designa como Fiscal Auxiliar Interino a la ciudadana Mariely Aguilera Salazar, en la Fiscalía 44 Nacional con competencia Plena y en Materia de Tránsito, Vehículos y Vialidad, con sede en Puerto Cabello."
43288,Ordinaria,2026-01-05,,DESIGNACION_FISCAL,Estephany Gabriela Morales de Castillo,Fiscal Provisorio,Fiscalía Cuarta del Ministerio Público de la Circunscripción Judicial del Estado Yaracuy,Ministerio Público,NO,,NO,"Resolución mediante la cual se designa como Fiscal Provisorio a la ciudadana Estephany Gabriela Morales de Castillo, en la Fiscalía Cuarta del Ministerio Público de la Circunscripción Judicial del estado Yaracuy, con competencia Plena y en Delitos de Homicidio, Delitos Graves y Contra la Propiedad en las Fases de Investigación, Intermedia y de Juicio Oral, con sede en San Felipe."
43288,Ordinaria,2026-01-05,,DESIGNACION_FISCAL,Verónica José Ramona Ramos Salazar,Fiscal Provisorio,Fiscalía Cuarta del Ministerio Público de la Circunscripción Judicial del Estado Sucre,Ministerio Público,NO,,NO,"Resolución mediante la cual se designa como Fiscal Provisorio a la ciudadana Verónica José Ramona Ramos Salazar, en la Fiscalía Cuarta del Ministerio Público de la Circunscripción Judicial del estado Sucre, con sede en Carúpano y competencia en Protección de Niños, Niñas y Adolescentes, Civil e Instituciones Familiares."
43288,Ordinaria,2026-01-05,,TRASLADO_FISCAL,Johnna Carolina Colmenares Mendoza,Fiscal Auxiliar Interino,Fiscalía Municipal Primera del Ministerio Público de la Circunscripción Judicial del Estado Lara,Ministerio Público,NO,,NO,"Resolución mediante la cual se traslada a la ciudadana Johnna Carolina Colmenares Mendoza, como Fiscal Auxiliar Interino a la Fiscalía Municipal Primera del Ministerio Público de la Circunscripción Judicial del estado Lara, con competencia territorial en el municipio Iribarren y sede en Barquisimeto, adscrita a la Fiscalía Superior de la citada Circunscripción Judicial"
43288,Ordinaria,2026-01-05,,TRASLADO_FISCAL,Mariana Carolina Mújica Parra,Fiscal Auxiliar Interino,Fiscalía Vigésima Sexta del Ministerio Público de la Circunscripción Judicial del Estado Lara,Ministerio Público,NO,,NO,"Resolución mediante la cual se traslada a la ciudadana Mariana Carolina Mújica Parra, como Fiscal Auxiliar Interino a la Fiscalía Vigésima Sexta del Ministerio Público de la Circunscripción Judicial del estado Lara, con competencia Plena y en Delitos Menos Graves en las Fases de Investigación, Intermedia y de Juicio Oral."
43288,Ordinaria,2026-01-05,,DESIGNACION_FISCAL,Víctor Omar García Rojas,Fiscal Auxiliar Superior de Investigación,Fiscalía Superior del Ministerio Público de la Circunscripción Judicial del Estado Táchira,Ministerio Público,NO,,NO,"Resolución mediante la cual se designa como Fiscal Auxiliar Superior de Investigación al ciudadano Víctor Omar García Rojas, en la Fiscalía Superior del Ministerio Público de la Circunscripción Judicial del estado Táchira, con sede en San Cristóbal."
43289,Ordinaria,2026-01-06,,NORMA_TECNICA,,Norma Venezolana COVENIN de Carácter Nacional; la Norma 316:2025 Barras y Rollos de Acero con Resaltes,,Ministerio del Poder Popular de Comercio Nacional,NO,,NO,Resolución mediante la cual se declara como Norma Venezolana COVENIN de carácter Nacional; la Norma 316:2025 BARRAS Y ROLLOS DE ACERO CON RESALTES. REQUISITOS. (5ta. Revisión).
43289,Ordinaria,2026-01-06,,NORMA_TECNICA,,Norma Venezolana COVENIN de Carácter Nacional; la Norma 65:2025 Conversión de Unidades,,Ministerio del Poder Popular de Comercio Nacional,NO,,NO,Resolución mediante la cual se declara como Norma Venezolana COVENIN de carácter Nacional; la Norma 65:2025 CONVERSIÓN DE UNIDADES. CÁLCULOS BÁSICOS. (1ra. Revisión). MINISTERIO DEL PODER POPULAR PARA HÁBITAT Y VIVIENDA Fundación Misión Hábitat
43289,Ordinaria,2026-01-06,,DESIGNACION_GERENTE,Elker Darío Bonilla Camacho,Gerente (E) de la Oficina de Gestión Administrativa,Fundación Misión Hábitat,Ministerio del Poder Popular para Hábitat y Vivienda Fundación Misión Hábitat,NO,,NO,"Providencia mediante la cual se designa al ciudadano Elker Darío Bonilla Camacho, como Gerente (E) de la Oficina de Gestión Administrativa, de la Fundación Misión Hábitat."
43289,Ordinaria,2026-01-06,,TRASLADO_FISCAL,Jhon Anderson Hernández Colmenarez,Fiscal Auxiliar Interino,Unidad de Depuración Inmediata de Casos,Ministerio Público,NO,,NO,"Resolución mediante la cual se traslada al ciudadano Jhon Anderson Hernández Colmenarez, como Fiscal Auxiliar Interino a la Unidad de Depuración Inmediata de Casos, adscrita a la Fiscalía Superior del Ministerio Público de la Circunscripción Judicial del estado Lara, con sede en Barquisimeto."
43289,Ordinaria,2026-01-06,,TRASLADO_FISCAL,Génesis Sarahí Peralta Sánchez,Fiscal Auxiliar Interino,Fiscalía Municipal Segunda del Ministerio Público de la Circunscripción Judicial del Estado Lara,Ministerio Público,NO,,NO,"Resolución mediante la cual se traslada a la ciudadana Génesis Sarahí Peralta Sánchez, como Fiscal Auxiliar Interino en la Fiscalía Municipal Segunda del Ministerio Público de la Circunscripción Judicial del estado Lara, con competencia territorial en el municipio Iribarren y sede en la ciudad de Barquisimeto, adscrita a la Fiscalía Superior de la citada Circunscripción Judicial."
43289,Ordinaria,2026-01-06,,TRASLADO_FISCAL,Lorena Ramona Valderrama Bastidas,Fiscal Provisorio,Fiscalía Novena del Ministerio Público del Segundo Circuito de la Circunscripción Judicial del Estado Portuguesa,Ministerio Público,NO,,NO,"Resolución mediante la cual se traslada a la ciudadana Lorena Ramona Valderrama Bastidas, como Fiscal Provisorio a la Fiscalía Novena del Ministerio Público del Segundo Circuito de la Circunscripción Judicial del estado Portuguesa, con competencia Plena y en Delitos Menos Graves en las Fases de Investigación, Intermedia y de Juicio Oral, con sede en Acarigua."
43289,Ordinaria,2026-01-06,,TRASLADO_FISCAL,Mary Carmen Díaz Hernández,Fiscal Auxiliar Interino,Fiscalía Trigésima Primera del Ministerio Público de la Circunscripción Judicial del Estado Miranda,Ministerio Público,NO,,NO,"Resolución mediante la cual se traslada a la ciudadana Mary Carmen Díaz Hernández, como Fiscal Auxiliar Interino a la Fiscalía Trigésima Primera del Ministerio Público de la Circunscripción Judicial del estado Miranda, con competencia en materia para la Defensa de la Mujer y sede en Guarenas."
43289,Ordinaria,2026-01-06,,TRASLADO_FISCAL,Yohendris Elizabeth Gallardo Gallardo,Fiscal Auxiliar Interino,Fiscalía Vigésima del Ministerio Público de la Circunscripción Judicial del Estado Lara,Ministerio Público,NO,,NO,"Resolución mediante la cual se traslada a la ciudadana Yohendris Elizabeth Gallardo Gallardo, como Fiscal Auxiliar Interino a la Fiscalía Vigésima del Ministerio Público de la Circunscripción Judicial del estado Lara, con competencia en Penal Ordinario, Víctimas Niños, Niñas y Adolescentes y en Delitos de Tránsito, Vehículos y Vialidad en las Fases de Investigación, Intermedia y de Juicio Oral, con sede en Barquisimeto."
43289,Ordinaria,2026-01-06,,DESIGNACION_FISCAL,Andrés Jonás Rebolledo Gamarra,Fiscal Provisorio,Fiscalía 45 Nacional Plena,Ministerio Público,NO,,NO,"Resolución mediante la cual se designa como Fiscal Provisorio al ciudadano Andrés Jonás Rebolledo Gamarra, en la Fiscalía 45 Nacional Plena."
43289,Ordinaria,2026-01-06,,DESIGNACION_DIRECTOR,Antonio Guaicaipuro Guerrero Peñalver,Director Contra las Drogas,,Ministerio Público,NO,,NO,"Resolución mediante la cual se designa al ciudadano Antonio Guaicaipuro Guerrero Peñalver, como Director Contra las Drogas, adscrito a la Dirección General Contra la Delincuencia Organizada."
43289,Ordinaria,2026-01-06,,DESIGNACION_DIRECTOR,Antonio Guaicaipuro Guerrero Peñalver,Director Contra la Extorsión y el Secuestro (Encargado),,Ministerio Público,NO,,NO,"Resolución mediante la cual se designa al ciudadano Antonio Guaicaipuro Guerrero Peñalver, como Director Contra la Extorsión y el Secuestro (Encargado), adscrito a la Dirección General Contra la Delincuencia Organizada."
43289,Ordinaria,2026-01-06,,DESIGNACION_DIRECTOR_GENERAL,Mariangel Coromoto Muñoz García,Directora General para la Protección de la Familia y la Mujer,,Ministerio Público,NO,,NO,"Resolución mediante la cual se designa a la ciudadana Mariangel Coromoto Muñoz García, como Directora General para la Protección de la Familia y la Mujer."
43289,Ordinaria,2026-01-06,,DESIGNACION_DIRECTOR,Mariangel Coromoto Muñoz García,Directora para la Defensa de la Mujer (Encargada),,Ministerio Público,NO,,NO,"Resolución mediante la cual se designa a la ciudadana Mariangel Coromoto Muñoz García, como Directora para la Defensa de la Mujer (Encargada), adscrita a la Dirección General para la Protección de la Familia y la Mujer."
43290,Ordinaria,2026-01-07,,ADQUISICION_INMUEBLE,,,,Ministerio del Poder Popular para Relaciones Exteriores,NO,,NO,"Resolución mediante la cual se autoriza la compra de la nueva Residencia Oficial de la Embajada de la República Socialista de Vietnam en la República Bolivariana de Venezuela, en la dirección que en ella se indica, en el municipio Libertador, Distrito Capital."
43290,Ordinaria,2026-01-07,,ESTRUCTURA_PRESUPUESTARIA,Armando José Pérez Mariño,Cuentadante Responsable de la Unidad Administradora Central para el Ejercicio Económico Financiero 2026; y se Aprueba la Estructura para la Ejecución Financiera del Presupuesto de Egresos para el Ejercicio Económico Financiero 2026,,Ministerio del Poder Popular para el Turismo,NO,,NO,"Resolución mediante la cual se designa al ciudadano Armando José Pérez Mariño, Director General de la Oficina de Gestión Administrativa, como Cuentadante Responsable de la Unidad Administradora Central para el Ejercicio Económico Financiero 2026; y se aprueba la Estructura para la Ejecución Financiera del Presupuesto de Egresos para el Ejercicio Económico Financiero 2026, del Ministerio del Poder Popular para el Turismo, que conforme a la distribución administrativa estará constituida de la mane"
43290,Ordinaria,2026-01-07,,DESIGNACION_DIRECTOR,Evelyn Leónica Jiménez Mercado,Directora de la Oficina de Gestión Administrativa del Estado Miranda,Dirección Estadal de Salud del Estado Miranda,Dirección Estadal de Salud del Estado Miranda (Ministerio del Poder Popular para la Salud),NO,,NO,"Resolución mediante la cual se designa a la ciudadana Evelyn Leónica Jiménez Mercado, como Directora de la Oficina de Gestión Administrativa del estado Miranda, adscrita a la Dirección Estadal de Salud del estado Miranda."
43290,Ordinaria,2026-01-07,,DESIGNACION_DIRECTOR,Eudo Alonso Hernández Dugarte,Director (E) del Área de Salud Integral Comunitaria (ASIC) “llano Seco”,Corporación de Salud del Estado Bolivariano de Mérida (CORPOSALUD),Corporación de Salud del Estado Bolivariano de Mérida (CORPOSALUD) (ministerio del Poder Popular para la Salud),NO,,NO,"Resolución mediante la cual se designa al ciudadano Eudo Alonso Hernández Dugarte, como Director (E) del Área de Salud Integral Comunitaria (ASIC) “LLANO SECO”, adscrita a la Corporación de Salud del estado Bolivariano de Mérida (CORPOSALUD)."
43290,Ordinaria,2026-01-07,,DESIGNACION_DIRECTOR,Oneida Guillermina Alvarado García,Directora (E) del Área de Salud Integral Comunitaria (ASIC) “los Flores de Catia”,Dirección de Salud de Distrito Capital,Dirección de Salud de Distrito Capital (Ministerio del Poder Popular para la Salud),NO,,NO,"Resolución mediante la cual se designa a la ciudadana Oneida Guillermina Alvarado García, como Directora (E) del Área de Salud Integral Comunitaria (ASIC) “LOS FLORES DE CATIA”, adscrito a la Dirección de Salud de Distrito Capital."
43290,Ordinaria,2026-01-07,,DESIGNACION_ADMINISTRADOR,Marisol del Carmen Quijada Rosario,Administradora de la Dirección de Salud Ambiental,Instituto Único para la Salud del Estado Monagas (INSAMONAGAS),Instituto Único para la Salud del Estado Monagas (INSAMONAGAS) (ministerio del Poder Popular para la Salud),NO,,NO,"Resolución mediante la cual se designa a la ciudadana Marisol del Carmen Quijada Rosario, como Administradora de la Dirección de Salud Ambiental, adscrita al Instituto Único para la Salud del estado Monagas (INSAMONAGAS)."
43290,Ordinaria,2026-01-07,,DESIGNACION_ADMINISTRADOR,María Betania Marcano Gómez,Administradora del Hospital Tipo II “DR. Darío Márquez”,Instituto Único para la Salud del Estado Monagas (INSAMONAGAS),Instituto Único para la Salud del Estado Monagas (INSAMONAGAS) (ministerio del Poder Popular para la Salud),NO,,NO,"Resolución mediante la cual se designa a la ciudadana María Betania Marcano Gómez, como Administradora del Hospital Tipo II “DR. DARÍO MÁRQUEZ”, adscrita al Instituto Único para la Salud del estado Monagas (INSAMONAGAS)."
43290,Ordinaria,2026-01-07,,DESIGNACION_DIRECTOR,Evelyn Leonica Jimenez Mercado,Directora de la Oficina de Gestión Administrativa del Estado Miranda,,Ministerio del Poder Popular para el Proceso Social de Trabajo,NO,,NO,[OCR] EVELYN LEONICA JIMENEZ MERCADO como DIRECTORA DE LA OFICINA DE GESTIÓN ADMINISTRATIVA DEL ESTADO MIRANDA
43290,Ordinaria,2026-01-07,,DESIGNACION_DIRECTOR,Eudo Alonso Hernandez Dugarte,"Director (E) del Area de Salud Integral Comunitaria (ASIC)"" Llano Seco” Adscrita a la Corporación de Salud del Estado Bolivariano de Mérida (CORPOSALUD)",,Ministerio del Poder Popular para el Proceso Social de Trabajo,NO,,NO,"[OCR] EUDO ALONSO HERNANDEZ DUGARTE como DIRECTOR (E) DEL AREA DE SALUD INTEGRAL COMUNITARIA (ASIC)"" LLANO SECO” adscrita a la Corporación de Salud del Estado Bolivariano de Mérida (CORPOSALUD)"
43291,Ordinaria,2026-01-08,,DESIGNACION_REPRESENTANTE_AN,Francisco José Ameliach Orta,Representante de la Asamblea Nacional Ante el Consejo de Estado para el Período 2026-2027,,Asamblea Nacional,NO,,NO,"Acuerdo mediante el cual se designa al ciudadano Diputado Francisco José Ameliach Orta, como Representante de la Asamblea Nacional ante el Consejo de Estado para el Período 2026-2027."
43291,Ordinaria,2026-01-08,,COMISION_CONTRATACIONES,,Miembros Principales y Suplentes,,FONACIT,NO,,NO,"Providencia mediante la cual se modifica y constituye la Comisión de Contrataciones con carácter permanente, del Fondo Nacional de Ciencia, Tecnología e Innovación (FONACIT); estará integrada por las ciudadanas y ciudadanos que en ella se mencionan, como Miembros Principales y Suplentes."
43291,Ordinaria,2026-01-08,,COMITE_LICITACIONES,,Miembros Principales y Suplentes,,FONACIT,NO,,NO,"Providencia mediante la cual se modifica y constituye el Comité de Licitaciones para la Enajenación de Bienes Públicos Nacionales pertenecientes al Fondo Nacional de Ciencia, Tecnología e Innovación (FONACIT); quedará conformado por las ciudadanas y ciudadanos que en ella se mencionan, como Miembros Principales y Suplentes."
43291,Ordinaria,2026-01-08,,DELEGACION_FUNCIONES,Francy Evelin Rodríguez,"Se Delega en la Ciudadana Francy Evelin Rodríguez, Presidenta (E) del Fondo Nacional de Ciencia, Tecnología e Innovación (FONACIT), las Atribuciones que en Ella se Indica",,FONACIT,NO,,NO,"Providencia mediante la cual se delega en la ciudadana Francy Evelin Rodríguez, Presidenta (E) del Fondo Nacional de Ciencia, Tecnología e Innovación (FONACIT), las atribuciones que en ella se indica. MINISTERIO DEL PODER POPULAR PARA EL TRANSPORTE Planta de Autobuses Yutong Venezuela, S.A."
43291,Ordinaria,2026-01-08,,REGLAMENTO,,,Planta de Autobuses Yutong Venezuela,Planta de Autobuses Yutong Venezuela (FONACIT),NO,,NO,"Providencia mediante la cual se dicta el Reglamento Interno de la Unidad de Auditoría Interna de la empresa PLANTA DE AUTOBUSES YUTONG VENEZUELA, S.A."
43291,Ordinaria,2026-01-08,,ESTRUCTURA_PRESUPUESTARIA,,,,Consejo Nacional Electoral,NO,,NO,"Resolución N.º 251203-091, mediante la cual se resuelve aprobar la Estructura Financiera para la Ejecución del Presupuesto de Gastos del Consejo Nacional Electoral para el Ejercicio Económico Financiero 2026."
43291,Ordinaria,2026-01-08,,ESTRUCTURA_PRESUPUESTARIA,,"Cuentadantes Responsables de las Unidades Administradoras, Integrantes de la Estructura para la Ejecución Financiera del Presupuesto de Gastos del Consejo Nacional Electoral del Ejercicio Económico Financiero 2026, a las Ciudadanas y Ciudadanos que en Ella se Mencionan",,Consejo Nacional Electoral,NO,,NO,"Resolución N.º 251203-092, mediante la cual se resuelve designar como Cuentadantes Responsables de las Unidades Administradoras, integrantes de la Estructura para la Ejecución Financiera del Presupuesto de Gastos del Consejo Nacional Electoral del Ejercicio Económico Financiero 2026, a las ciudadanas y ciudadanos que en ella se mencionan."
43291,Ordinaria,2026-01-08,,DESIGNACION_REPRESENTANTE_AN,Francisco José Ameliach Orta,"Respaldar el Derecho Internacional, la Solución Pacífica de los Conflictos y el Principio de Autodeterminación de los Pueblos",,Consejo Nacional Electoral,NO,,NO,"Resolución N.º 251203-093, mediante la cual se resuelve dictar las Normas sobre el Sistema de Modificaciones Presupuestarias, aplicable al Presupuesto de Egresos del Consejo Nacional Electoral del Ejercicio Económico Financiero del año 2026. CUARTO: Exhortar a los parlamentos, gobiernos y pueblos del mundo a rechazar el uso de la fuerza, así como respaldar el Derecho Internacional, la solución pacífica de los conflictos y el principio de autodeterminación de los pueblos. QUINTO: Respaldar la den"
